Number of Gallons Fueled,Number of Customers Served,Number of Small Cars,Number of Sedans,Number of Motorbikes,Number of Trucks,Number of Customers Lost,Profit,Loss
1191,144,61,32,51,0,47,1398.00,1928.90
1175,152,60,30,62,0,86,1375.20,2678.23
1144,144,51,29,64,0,67,1341.60,2337.15
1218,149,56,33,60,0,67,1429.20,2386.71
1252,143,29,47,67,0,62,1473.60,1971.93
1096,147,65,21,61,0,77,1291.20,2391.83
1138,148,59,27,62,0,60,1347.60,2207.75
1146,142,46,34,62,0,83,1339.20,2432.48
1185,153,39,37,77,0,69,1400.40,2274.02
1222,149,42,40,67,0,59,1437.60,2175.42
