p,q,pumps,tills,trucks,averageProfit,averageLoss
0.01,0.01,1,1,true,457.56,834.446
0.01,0.01,1,2,true,459.36,845.929
0.01,0.01,1,4,true,448.44,782.492
0.01,0.01,2,1,true,697.56,639.744
0.01,0.01,2,2,true,756.48,608.172
0.01,0.01,2,4,true,714.60,646.433
0.01,0.01,4,1,true,910.44,501.546
0.01,0.01,4,2,true,843.60,452.489
0.01,0.01,4,4,true,829.20,448.422
0.01,0.02,1,1,true,521.04,1180.905
0.01,0.02,1,2,true,536.40,1251.035
0.01,0.02,1,4,true,526.20,1228.684
0.01,0.02,2,1,true,863.04,892.351
0.01,0.02,2,2,true,877.44,895.848
0.01,0.02,2,4,true,826.56,838.41
0.01,0.02,4,1,true,1067.64,687.171
0.01,0.02,4,2,true,1055.16,601.30
0.01,0.02,4,4,true,1101.84,663.507
0.01,0.03,1,1,true,543.12,1583.363
0.01,0.03,1,2,true,537.60,1577.108
0.01,0.03,1,4,true,546.00,1614.863
0.01,0.03,2,1,true,969.12,1265.314
0.01,0.03,2,2,true,981.00,1110.13
0.01,0.03,2,4,true,978.00,1258.014
0.01,0.03,4,1,true,1257.24,831.941
0.01,0.03,4,2,true,1225.56,747.541
0.01,0.03,4,4,true,1289.04,805.683
0.01,0.04,1,1,true,581.76,1984.876
0.01,0.04,1,2,true,579.72,2000.217
0.01,0.04,1,4,true,592.56,1961.742
0.01,0.04,2,1,true,1028.04,1591.577
0.01,0.04,2,2,true,1064.40,1399.465
0.01,0.04,2,4,true,1121.04,1604.923
0.01,0.04,4,1,true,1372.08,1203.082
0.01,0.04,4,2,true,1516.56,1082.047
0.01,0.04,4,4,true,1516.92,974.326
0.01,0.05,1,1,true,584.88,2381.10
0.01,0.05,1,2,true,602.52,2377.91
0.01,0.05,1,4,true,587.28,2360.331
0.01,0.05,2,1,true,1075.56,1942.361
0.01,0.05,2,2,true,1157.04,1999.089
0.01,0.05,2,4,true,1123.56,1871.687
0.01,0.05,4,1,true,1455.00,1672.899
0.01,0.05,4,2,true,1787.28,1282.195
0.01,0.05,4,4,true,1782.84,1292.573
0.02,0.01,1,1,true,486.48,1137.129
0.02,0.01,1,2,true,470.28,1083.539
0.02,0.01,1,4,true,500.88,1072.975
0.02,0.01,2,1,true,786.48,792.659
0.02,0.01,2,2,true,871.92,772.95
0.02,0.01,2,4,true,874.32,781.115
0.02,0.01,4,1,true,1005.00,590.762
0.02,0.01,4,2,true,1057.56,562.728
0.02,0.01,4,4,true,1111.92,590.862
0.02,0.02,1,1,true,514.92,1508.386
0.02,0.02,1,2,true,512.76,1620.166
0.02,0.02,1,4,true,511.80,1583.162
0.02,0.02,2,1,true,891.12,1061.15
0.02,0.02,2,2,true,933.48,1089.582
0.02,0.02,2,4,true,976.80,1163.819
0.02,0.02,4,1,true,1135.92,861.106
0.02,0.02,4,2,true,1254.72,703.373
0.02,0.02,4,4,true,1312.92,781.659
0.02,0.03,1,1,true,541.56,1844.386
0.02,0.03,1,2,true,531.24,1818.835
0.02,0.03,1,4,true,540.00,2016.313
0.02,0.03,2,1,true,930.48,1563.653
0.02,0.03,2,2,true,1052.76,1532.644
0.02,0.03,2,4,true,1057.68,1399.247
0.02,0.03,4,1,true,1279.68,1192.135
0.02,0.03,4,2,true,1468.92,925.842
0.02,0.03,4,4,true,1516.20,993.11
0.02,0.04,1,1,true,563.04,2322.256
0.02,0.04,1,2,true,563.04,2375.944
0.02,0.04,1,4,true,552.96,2418.238
0.02,0.04,2,1,true,969.96,1967.539
0.02,0.04,2,2,true,1097.16,1786.132
0.02,0.04,2,4,true,1105.20,1913.236
0.02,0.04,4,1,true,1242.96,1725.829
0.02,0.04,4,2,true,1686.36,1238.533
0.02,0.04,4,4,true,1721.40,1211.335
0.02,0.05,1,1,true,576.84,2776.343
0.02,0.05,1,2,true,562.32,2777.063
0.02,0.05,1,4,true,574.80,2612.367
0.02,0.05,2,1,true,1009.20,2439.438
0.02,0.05,2,2,true,1110.48,2239.325
0.02,0.05,2,4,true,1127.64,2279.084
0.02,0.05,4,1,true,1267.56,1971.125
0.02,0.05,4,2,true,1848.36,1455.651
0.02,0.05,4,4,true,1836.00,1305.803
0.03,0.01,1,1,true,489.12,1477.428
0.03,0.01,1,2,true,478.68,1370.966
0.03,0.01,1,4,true,492.96,1557.101
0.03,0.01,2,1,true,810.60,1073.409
0.03,0.01,2,2,true,921.48,1013.437
0.03,0.01,2,4,true,930.48,991.051
0.03,0.01,4,1,true,1009.68,982.988
0.03,0.01,4,2,true,1262.64,710.452
0.03,0.01,4,4,true,1265.28,684.887
0.03,0.02,1,1,true,492.48,1825.197
0.03,0.02,1,2,true,504.84,1986.354
0.03,0.02,1,4,true,496.92,1904.885
0.03,0.02,2,1,true,812.76,1613.128
0.03,0.02,2,2,true,995.88,1368.663
0.03,0.02,2,4,true,1007.04,1356.644
0.03,0.02,4,1,true,1047.36,1181.644
0.03,0.02,4,2,true,1503.24,885.046
0.03,0.02,4,4,true,1500.84,879.919
0.03,0.03,1,1,true,526.08,2228.973
0.03,0.03,1,2,true,495.00,2254.949
0.03,0.03,1,4,true,524.16,2257.859
0.03,0.03,2,1,true,853.20,2042.363
0.03,0.03,2,2,true,1045.20,1771.154
0.03,0.03,2,4,true,1047.72,1693.891
0.03,0.03,4,1,true,1028.64,1563.585
0.03,0.03,4,2,true,1678.20,1217.673
0.03,0.03,4,4,true,1737.60,1169.015
0.03,0.04,1,1,true,528.96,2623.509
0.03,0.04,1,2,true,518.52,2582.654
0.03,0.04,1,4,true,537.00,2782.503
0.03,0.04,2,1,true,897.48,2438.995
0.03,0.04,2,2,true,1080.12,2100.904
0.03,0.04,2,4,true,1065.60,2213.953
0.03,0.04,4,1,true,1104.72,2066.599
0.03,0.04,4,2,true,1819.80,1395.545
